ticker,concept,period_type,count,lag_min,lag_median,lag_max
AAPL,Revenue,quarterly,51,25,32,34
AAPL,Revenue,annual,39,30,123,219
AAPL,Revenue,other,0,,,
AAPL,NetIncome,quarterly,51,25,32,34
AAPL,NetIncome,annual,39,30,123,219
AAPL,NetIncome,other,0,,,
AAPL,OperatingIncome,quarterly,51,25,32,34
AAPL,OperatingIncome,annual,17,30,33,37
AAPL,OperatingIncome,other,0,,,
AAPL,StockholdersEquity,quarterly,53,25,32,117
AAPL,StockholdersEquity,annual,17,30,33,37
AAPL,StockholdersEquity,other,0,,,
AAPL,Assets,quarterly,53,25,32,117
AAPL,Assets,annual,17,30,33,37
AAPL,Assets,other,0,,,
AAPL,CFO,quarterly,51,25,32,34
AAPL,CFO,annual,17,30,33,37
AAPL,CFO,other,0,,,
AAPL,Buybacks,quarterly,41,25,32,34
AAPL,Buybacks,annual,13,30,34,37
AAPL,Buybacks,other,0,,,
AAPL,Cash,quarterly,53,25,32,117
AAPL,Cash,annual,17,30,33,37
AAPL,Cash,other,0,,,
AAPL,LongTermDebt,quarterly,39,25,32,34
AAPL,LongTermDebt,annual,13,30,34,37
AAPL,LongTermDebt,other,0,,,
AAPL,TotalLiabilities,quarterly,53,25,32,117
AAPL,TotalLiabilities,annual,17,30,33,37
AAPL,TotalLiabilities,other,0,,,
AAPL,EPS_Basic,quarterly,51,25,32,34
AAPL,EPS_Basic,annual,39,30,123,219
AAPL,EPS_Basic,other,0,,,
AAPL,EPS_Diluted,quarterly,51,25,32,34
AAPL,EPS_Diluted,annual,39,30,123,219
AAPL,EPS_Diluted,other,0,,,
AAPL,CapEx,quarterly,51,25,32,34
AAPL,CapEx,annual,17,30,33,37
AAPL,CapEx,other,0,,,
AAPL,Shares,quarterly,53,25,32,117
AAPL,Shares,annual,17,30,33,37
AAPL,Shares,other,0,,,
AAPL,Dividends,quarterly,47,25,32,117
AAPL,Dividends,annual,26,30,35,216
AAPL,Dividends,other,0,,,
MSFT,Revenue,quarterly,50,18,26,31
MSFT,Revenue,annual,38,26,120,215
MSFT,Revenue,other,0,,,
MSFT,NetIncome,quarterly,51,18,26,112
MSFT,NetIncome,annual,38,26,120,215
MSFT,NetIncome,other,0,,,
MSFT,OperatingIncome,quarterly,50,18,26,31
MSFT,OperatingIncome,annual,26,26,31,215
MSFT,OperatingIncome,other,0,,,
MSFT,StockholdersEquity,quarterly,65,18,27,120
MSFT,StockholdersEquity,annual,16,26,30,34
MSFT,StockholdersEquity,other,0,,,
MSFT,Assets,quarterly,65,18,27,120
MSFT,Assets,annual,16,26,30,34
MSFT,Assets,other,0,,,
MSFT,CFO,quarterly,51,18,26,112
MSFT,CFO,annual,16,26,30,34
MSFT,CFO,other,0,,,
MSFT,Buybacks,quarterly,50,18,26,31
MSFT,Buybacks,annual,16,26,30,34
MSFT,Buybacks,other,0,,,
MSFT,Cash,quarterly,93,18,30,120
MSFT,Cash,annual,16,26,30,34
MSFT,Cash,other,0,,,
MSFT,LongTermDebt,quarterly,65,18,27,120
MSFT,LongTermDebt,annual,16,26,30,34
MSFT,LongTermDebt,other,0,,,
MSFT,TotalLiabilities,quarterly,65,18,27,120
MSFT,TotalLiabilities,annual,16,26,30,34
MSFT,TotalLiabilities,other,0,,,
MSFT,EPS_Basic,quarterly,51,18,26,112
MSFT,EPS_Basic,annual,38,26,120,215
MSFT,EPS_Basic,other,0,,,
MSFT,EPS_Diluted,quarterly,51,18,26,112
MSFT,EPS_Diluted,annual,38,26,120,215
MSFT,EPS_Diluted,other,0,,,
MSFT,CapEx,quarterly,50,18,26,31
MSFT,CapEx,annual,16,26,30,34
MSFT,CapEx,other,0,,,
MSFT,Shares,quarterly,66,18,27,120
MSFT,Shares,annual,16,26,30,34
MSFT,Shares,other,0,,,
MSFT,Dividends,quarterly,76,18,28,120
MSFT,Dividends,annual,48,26,121,215
MSFT,Dividends,other,0,,,
GOOGL,Revenue,quarterly,32,24,27,35
GOOGL,Revenue,annual,11,31,35,42
GOOGL,Revenue,other,0,,,
GOOGL,NetIncome,quarterly,32,24,27,35
GOOGL,NetIncome,annual,11,31,35,42
GOOGL,NetIncome,other,0,,,
GOOGL,OperatingIncome,quarterly,32,24,27,35
GOOGL,OperatingIncome,annual,11,31,35,42
GOOGL,OperatingIncome,other,0,,,
GOOGL,StockholdersEquity,quarterly,50,24,30,120
GOOGL,StockholdersEquity,annual,11,31,35,42
GOOGL,StockholdersEquity,other,0,,,
GOOGL,Assets,quarterly,41,24,29,120
GOOGL,Assets,annual,11,31,35,42
GOOGL,Assets,other,0,,,
GOOGL,CFO,quarterly,32,24,27,35
GOOGL,CFO,annual,11,31,35,42
GOOGL,CFO,other,0,,,
GOOGL,Buybacks,quarterly,31,24,27,35
GOOGL,Buybacks,annual,11,31,35,42
GOOGL,Buybacks,other,0,,,
GOOGL,Cash,quarterly,41,24,29,120
GOOGL,Cash,annual,11,31,35,42
GOOGL,Cash,other,0,,,
GOOGL,LongTermDebt,quarterly,37,24,29,120
GOOGL,LongTermDebt,annual,11,31,35,42
